Family Illness,Managing responsibilities due to a sick family member.,Balancing work and caregiving for my ill family member is overwhelming.,Taking care of a family member who is ill while fulfilling job responsibilities.,"Feeling: anxiety, overwhelm, stress","Leading to: increased absenteeism, decreased productivity, lowered morale","Creates perception of being: distracted, unreliable, underperforming",Life,"family matters, caregiver stress, health and well-being","flexible schedules, emotional support, stress management"
Hostile Environment,Dealing with a toxic and distressing work atmosphere.,The negativity at work makes me anxious and unhappy.,"Experiencing a hostile and distressing environment at work, affecting mental health and job satisfaction.","Feeling: distress, anxiety, unhappiness","Leading to: higher turnover rates, decreased productivity, increased conflict","Creates perception of being: defensive, disengaged, unmotivated",Social & communication,"workplace culture issues, high stress levels, anxiety","awareness training, mental health support, clear communication"
Information Access,Difficulties in obtaining necessary information for work.,It's frustrating when I can't access the information I need quickly.,Struggling to obtain or access essential information needed to perform job tasks efficiently.,"Feeling: frustration, confusion, stress","Leading to: inefficient processes, missed deadlines, decreased productivity","Creates perception of being: inefficient, disengaged, unproductive",Technology,"digital barriers, information management issues, decreased productivity","organisational tools, efficient workspace, cognitive support"
Remote Server Access,Challenges in connecting to remote servers for work.,"I often face issues accessing remote servers, which delays my work.","Experiencing difficulties in connecting to and accessing remote servers, leading to delays and disruptions in workflow.","Feeling: frustration, stress, nervousness","Leading to: missed deadlines, decreased productivity, increased operational costs","Creates perception of being: unreliable, inefficient, distracted",Technology,"remote work challenges, technology adaptation challenges, task execution errors","reliable VPNs, technical support, workflow automation"
Healthcare Advocacy,Advocating for a sick family member within the healthcare system.,Navigating the healthcare system for my family member is exhausting.,"Acting as an advocate for a sick family member, dealing with complex healthcare procedures and communication with professionals.","Feeling: exhaustion, frustration, helplessness","Leading to: increased absenteeism, decreased productivity, lowered morale","Creates perception of being: distracted, stressed, unreliable",Life,"caregiver stress, health and well-being, emotional distress","flexible schedules, support networks, mental health support"
Addison's Disease,Managing the symptoms and treatment of Addison's Disease at work.,Coping with Addison's Disease affects my daily performance.,"Dealing with the chronic condition of Addison's Disease, including managing symptoms and treatment while maintaining work.","Feeling: exhaustion, anxiety, stress","Leading to: increased absenteeism, decreased productivity, higher turnover rates","Creates perception of being: inconsistent, unreliable, underperforming","Physical, Mental & emotional","chronic illness, fatigue, health and well-being","flexible schedules, wellness programs, medical accommodation"
Legal & Financial Matters,Addressing legal and financial issues related to a family member's illness.,Handling the legal and financial aspects of my family member's illness is overwhelming.,"Managing complex legal and financial responsibilities related to a family member's illness, impacting focus and work performance.","Feeling: overwhelm, anxiety, stress","Leading to: increased absenteeism, decreased productivity, higher turnover rates","Creates perception of being: distracted, unreliable, stressed",Life,"caregiver stress, financial strain, legal concerns","flexible schedules, legal assistance, financial planning"
ADHD Management,Dealing with symptoms of ADHD in a professional setting.,My ADHD makes it hard to stay focused and organised at work.,"Managing the symptoms of ADHD, such as inattention and hyperactivity, affecting task execution and organisation at work.","Feeling: frustration, inadequacy, stress","Leading to: decreased productivity, missed deadlines, increased errors","Creates perception of being: unfocused, disorganised, unreliable","Mental & emotional, Sensory & focus","ADHD, attention issues, task management difficulties","cognitive support, task management, organisational tools"
New Home Adjustment,"Adapting to a new home, neighbourhood, or commute.",Adjusting to my new living situation is disrupting my routine.,"Settling into a new home or neighbourhood, or adjusting to a new commute, affecting daily routines and work-life balance.","Feeling: overwhelm, stress, apprehension","Leading to: decreased productivity, increased absenteeism, lowered morale","Creates perception of being: distracted, inconsistent, underperforming",Life,"relocation stress, life changes, work-life balance issues","flexible schedules, stress management, support networks"
Return to Work Adjustment,Readjusting to work after a prolonged break.,Returning to work after a break is challenging and stressful.,Readjusting to the workplace environment and job responsibilities after an extended period away from work.,"Feeling: anxiety, stress, inadequacy","Leading to: decreased productivity, increased errors, lower employee engagement","Creates perception of being: inconsistent, underperforming, unmotivated","Mental & emotional, Social & communication","performance issues, high stress levels, anxiety","mentorship programs, professional development, stress management"
