C101,Feeling physically exhausted (not due to illness),Physical Exhaustion,Feeling physically drained despite not being ill.,I feel completely worn out even though I'm not sick.,"Experiencing extreme physical fatigue without any underlying illness, affecting daily activities.","Feeling: tired, weak, overwhelmed","Leading to: decreased productivity, increased absenteeism, higher error rates","Creates perception of being: unreliable, lazy, disengaged","Physical, Physical Symptoms of Autism","Decreased stamina, Increased fatigue, Low energy, Autism","Regular breaks, Ergonomic adjustments, Reduced workload","Stay hydrated, Schedule breaks, Practice mindfulness, Light exercise, Manage workload, Healthy diet, Limit caffeine, Avoid overstimulation, Regular health check-ups, Flexible work hours, Encourage breaks, Ergonomic workstation, Wellness programs, Access to quiet rooms, Supportive culture, Regular feedback, Adjust workload, Offer counseling, Energy management training"
C102,Feeling as if all of your internal resources have been used up,Depleted Resources,Feeling as if all internal resources are exhausted.,I feel like I've got nothing left to give.,"Feeling as though all mental, emotional, and physical resources have been fully expended.","Feeling: drained, defeated, anxious","Leading to: burnout, lower morale, decreased innovation","Creates perception of being: unmotivated, passive, uninterested","Mental & emotional, Physical Symptoms of Autism","Burnout, Emotional fatigue, Overwhelmed, Autism","Mental health support, Resource management training, Stress reduction","Break tasks into steps, Set realistic goals, Regular rest, Practice deep breathing, Seek support, Positive self-talk, Use a planner, Identify priorities, Delegate tasks, Avoid multitasking, Adjust deadlines, Provide clear guidelines, Offer mental health support, Flexible schedules, Encourage team collaboration, Provide task lists, Offer mentorship, Create a supportive environment, Reduce sensory input, Encourage self-care"
C103,Feeling depleted,General Depletion,Feeling generally depleted in energy and motivation.,I just feel generally depleted.,Experiencing a pervasive sense of low energy and motivation impacting all areas of life.,"Feeling: fatigued, discouraged, low","Leading to: diminished work quality, poor engagement, frequent breaks","Creates perception of being: uncommitted, sluggish, inattentive","Mental & emotional, Physical Symptoms of Autism","Low motivation, Chronic fatigue, Low morale, Autism","Wellness programs, Flexible scheduling, Mental health days","Engage in hobbies, Socialize, Regular exercise, Mindfulness meditation, Nutritious diet, Time management, Limit screen time, Regular relaxation, Listen to music, Maintain routine, Access to wellness programs, Promote work-life balance, Regular check-ins, Provide mental health resources, Flexible break times, Create quiet spaces, Foster inclusivity, Offer recreational activities, Provide EAP services, Promote healthy habits"
C104,Needing to sleep more,Need for More Sleep,Requiring more sleep than usual to function.,I need to sleep a lot more than usual.,Finding that additional sleep is necessary to maintain daily functionality and alertness.,"Feeling: drowsy, lethargic, fatigued","Leading to: tardiness, reduced work hours, missed deadlines","Creates perception of being: undisciplined, inconsistent, unreliable","Physical, Physical Symptoms of Autism","Excessive tiredness, Sleep disturbances, Poor restfulness, Autism","Sleep hygiene education, Adjusted work hours, Napping provisions","Set a sleep schedule, Limit blue light exposure, Avoid heavy meals before bed, Create a bedtime routine, Avoid stimulants, Relaxation techniques, Limit naps, Comfortable sleep environment, Wind down activities, Consistent wake-up time, Adjust start times, Offer remote work, Provide rest areas, Allow nap breaks, Encourage PTO usage, Promote sleep hygiene, Offer wellness programs, Promote healthy lifestyles, Educate about sleep hygiene, Allow flexible hours"
C105,Finding it hard to get out of bed in the morning,Hard to Get Up,Difficulty getting out of bed in the morning.,I struggle to get out of bed each morning.,"Experiencing significant challenges in waking up and starting the day, impacting punctuality.","Feeling: sluggish, unmotivated, groggy","Leading to: absenteeism, reduced productivity, late starts","Creates perception of being: unmotivated, tardy, unreliable","Physical, Mental & emotional, Physical Symptoms of Autism","Morning fatigue, Low morning energy, Poor wakefulness, Autism","Alarm management, Morning routine development, Flexible start times","Morning exercise, Avoid late-night activities, Gradual wake-up routine, Morning sunlight exposure, Use an alarm clock, Morning meditation, Healthy breakfast, Hydrate upon waking, Positive morning ritual, Avoid screen time at night, Flexible start times, Encourage gradual start, Provide light therapy, Promote wellness programs, Access to natural light, Offer flexible schedules, Promote positive culture, Provide ergonomic support, Offer gradual start times, Allow for remote work"
C106,Feeling mentally exhausted,Mental Exhaustion,Feeling mentally exhausted and unable to focus.,My mind feels completely drained.,"Struggling with mental fatigue, making it hard to concentrate and perform cognitive tasks.","Feeling: overwhelmed, stressed, inattentive","Leading to: errors, decreased problem-solving abilities, lack of focus","Creates perception of being: distracted, inattentive, careless","Mental & emotional, Cognitive Symptoms of Autism","Cognitive fatigue, Reduced concentration, Mental burnout, Autism","Cognitive breaks, Mindfulness training, Task prioritisation","Take regular breaks, Prioritize tasks, Practice mindfulness, Limit multitasking, Use a planner, Maintain work-life balance, Engage in hobbies, Relaxation techniques, Healthy diet, Stay hydrated, Flexible work hours, Encourage regular breaks, Provide quiet workspaces, Offer mental health support, Implement wellness programs, Promote work-life balance, Allow for flexible deadlines, Provide task variety, Encourage PTO usage, Offer EAP services"
C107,Slowed down thinking,Slowed Thinking,Experiencing slowed thinking and mental processing.,My thoughts feel slow and sluggish.,"Finding that mental processes are significantly slower, affecting decision-making and responses.","Feeling: confused, slow, frustrated","Leading to: slower task completion, errors, impaired decision-making","Creates perception of being: slow, confused, inattentive","Mental & emotional, Cognitive Symptoms of Autism","Slow cognition, Delayed responses, Poor processing speed, Autism","Cognitive exercises, Structured workflows, Additional time allowances","Break tasks into steps, Set realistic goals, Practice deep breathing, Take short walks, Limit distractions, Use cognitive aids, Follow a routine, Simplify tasks, Delegate when possible, Seek support, Adjust workload, Provide clear instructions, Allow for flexible deadlines, Implement regular breaks, Offer task management training, Allow for extended deadlines, Reduce sensory overload, Provide focus rooms, Encourage collaboration, "
C108,Finding it hard to think,Hard to Think,Difficulty in thinking clearly and processing information.,I find it really hard to think clearly.,"Struggling to maintain clarity in thought and process information efficiently, impacting work.","Feeling: muddled, foggy, unclear","Leading to: mistakes, lower productivity, impaired judgement","Creates perception of being: disorganised, inattentive, unfocused","Mental & emotional, Cognitive Symptoms of Autism","Cognitive cloudiness, Poor clarity, Processing difficulties, Autism","Mental clarity exercises, Simplified tasks, Clear communication","Write things down, Create to-do lists, Use visual aids, Break tasks into steps, Prioritize tasks, Regular exercise, Engage in brain games, Limit screen time, Stay organized, Seek help if needed, Flexible schedules, Provide detailed instructions, Offer task reminders, Allow flexible work hours, Implement task segmentation, Offer visual aids, Provide organizational tools, Encourage team work, Adjust performance expectations, "
C109,Decreased ability to solve problems,Problem-Solving Decline,Decreased ability to solve problems effectively.,I'm having trouble solving problems like I used to.,Noticing a significant reduction in the ability to solve problems and think critically.,"Feeling: inadequate, anxious, ineffective","Leading to: subpar solutions, decreased innovation, task delays","Creates perception of being: incompetent, unresourceful, ineffective","Mental & emotional, Cognitive Symptoms of Autism","Critical thinking decline, Poor problem-solving, Reduced creativity, Autism","Problem-solving workshops, Brainstorming sessions, Support systems","Practice problem-solving, Take breaks when needed, Use problem-solving frameworks, Seek feedback, Limit distractions, Practice creative thinking, Break problems into parts, Use visual aids, Prioritize issues, Seek support, Provide problem-solving training, Offer mentoring programs, Encourage collaborative solutions, Provide quiet spaces, Allow for flexible deadlines, Implement regular breaks, Offer task management tools, Promote teamwork, Provide clear problem frameworks, "
C110,Finding it hard to find the right words,Word-Finding Difficulty,Difficulty finding the right words when speaking.,I struggle to find the right words when I talk.,Facing challenges in recalling and using appropriate words during communication.,"Feeling: embarrassed, frustrated, self-conscious","Leading to: miscommunication, reduced clarity, misunderstanding","Creates perception of being: inarticulate, hesitant, unclear","Social & communication, Cognitive Symptoms of Autism","Speech difficulties, Verbal recall issues, Communication barriers, Autism","Speech therapy, Vocabulary exercises, Enhanced communication tools","Use visual aids, Practice communication skills, Engage in language exercises, Take your time, Limit distractions, Use a planner, Simplify language use, Practice mindfulness, Use note-taking apps, Seek help if needed, Provide communication training, Offer speech and language therapy, Encourage use of visual aids, Allow for written communication, Provide quiet workspaces, Offer extended deadlines, Implement clear communication guidelines, Promote inclusivity, Provide assistive technology, "
