Adjustment Choices,Providing a menu of reasonable adjustments for job applicants.,I felt respected knowing I could choose what I needed to apply comfortably.,Offering a menu of reasonable adjustments for job applicants empowers them to select necessary accommodations.,Helps me feel in control during the application process. This could help your organisation attract diverse talent.,"Feeling: valued, respected, included","Leading to: improved recruitment, enhanced diversity, better employee experience",Support,"accessibility and inclusion, adaptable strategies, diverse hiring, inclusive hiring","access barriers, disability accommodation, recruitment bias, workplace culture issues"
Inclusivity Advocacy,"Promoting awareness and inclusivity, advocating for oneself and others.",I feel empowered when I see active inclusivity advocacy in my workplace.,"Promoting awareness and inclusivity, and advocating for oneself and others, fosters a supportive environment for all employees.","Helps me feel included and supported. This could help our organisation build a stronger, more inclusive culture.","Feeling: empowered, included, supported","Leading to: stronger culture, enhanced engagement, increased morale","Adaptability, Communication, Development","awareness training, emotional support, equal opportunity, neurodiversity inclusion","communication barriers, exclusion, group dynamics challenges, workplace culture issues"
Bias-Free Hiring,Implementing blind recruitment and diverse interview panels.,I appreciated the fairness of the blind recruitment process in my interview.,"Blind recruitment and diverse interview panels, driven by unconscious bias training, reduce bias in hiring and promote diversity in the workplace.",Helps me trust the hiring process. This could help our organisation foster a more diverse and equitable workforce.,"Feeling: confident, included, respected","Leading to: enhanced diversity, better recruitment, improved compliance","Adaptability, Communication, Development","diverse hiring, unbiased assessments, inclusive hiring, equal opportunity","biased assessments, recruitment bias, discrimination, workplace culture issues"
Alternative Applications,"Offering different ways to apply for a job, including various methods.",Having multiple application methods made it easier for me to apply comfortably.,"Providing various application methods, like email, mail, CV submission, or an online call, accommodates different preferences and accessibility needs of candidates.",Helps me find a comfortable application method. This could help your organisation attract a broader range of applicants.,"Feeling: valued, included, respected","Leading to: improved recruitment, enhanced diversity, better candidate experience","Support, Adaptability","accessible formats, adaptable strategies, flexible schedules, clear communication","access barriers, digital barriers, recruitment bias, application challenges"
Visual Portfolios,Offer alternative formats like visual portfolios.,Presenting my work visually lets me showcase my strengths creatively.,Offering candidates options to present skills in formats such as visual portfolios or video presentations allows for creative expression.,Helps me show my skills in a unique way. Could help your organisation attract diverse talent.,"Feeling: confident, motivated, inspired","Leading to: increased creativity, improved recruitment, stronger culture","Adaptability, Development, Support","visual planning, communication tools, adaptable strategies","accessibility and accommodation, neurodiversity inclusion, career challenges"
Resilience Training,Cultivate resilience in job seekers.,Learning to bounce back helps me face job search challenges with confidence.,Providing training to cultivate resilience helps job seekers navigate challenges and view setbacks as learning opportunities.,Helps me stay motivated. Might help our organisation by fostering a resilient workforce.,"Feeling: empowered, motivated, resilient","Leading to: enhanced growth, stronger culture, better talent development","Development, Wellness","career guidance, stress management, emotional support","high stress levels, career challenges, emotional distress"
Info Packs,Provide comprehensive candidate information packs.,Knowing what to expect at the interview helps me feel more prepared and less anxious.,"Providing candidates with detailed information packs about the interview process, including venue details and a visual map.",Helps me feel prepared. Could help your organisation by reducing candidate anxiety and improving interview readiness.,"Feeling: prepared, supported, confident","Leading to: improved recruitment, better candidate experience, reduced stress","Communication, Support","clear communication, cognitive support, educational inclusion","anxiety, communication clarity, interview challenges"
Clear Application Instructions,Ensure job application websites have clear instructions.,Having clear steps reduces my anxiety and helps me complete applications accurately.,"Making sure job application websites provide clear, explicit instructions to avoid confusion and anxiety, particularly for autistic individuals.",Helps me apply accurately. Could help our organisation attract more qualified candidates.,"Feeling: supported, confident, less anxious","Leading to: improved compliance, better recruitment, reduced errors","Communication, Productivity","accessibility and inclusion, clear communication, cognitive support","communication barriers, anxiety, accuracy issues"
Written Interview Instructions,Provide clear written instructions before interviews.,Receiving instructions in advance allows me to prepare and reduces my stress.,"Offering candidates clear, concise written instructions prior to the interview to facilitate better preparation and reduce anxiety.",Helps me prepare better. Might help your organisation by improving interview performance.,"Feeling: supported, prepared, confident","Leading to: better performance, reduced stress, improved recruitment","Communication, Support","clear communication, accessible formats, cognitive support","communication barriers, anxiety, preparation challenges"
Job Description Review,Co-review job descriptions with autistic individuals.,Participating in job description reviews ensures they are clear and easy to understand.,Involving autistic individuals in the review of job descriptions to ensure plain language and logical formatting.,"Helps me understand job requirements better. Could help your organisation create clearer, more inclusive job postings.","Feeling: included, respected, valued","Leading to: better goal alignment, enhanced diversity, improved recruitment","Development, Communication","diverse hiring, clear communication, inclusive hiring","biased assessments, communication clarity, accessibility issues"
Communication Aids,Allow the use of communication aids during interviews.,Using communication aids helps me express myself clearly during interviews.,Permitting candidates to use communication aids or technology during interviews to assist with communication challenges.,Helps me communicate effectively. Might help your organisation by facilitating better understanding in interviews.,"Feeling: supported, confident, included","Leading to: improved recruitment, better interview experience, greater inclusion","Support, Communication","assistive technology, communication tools, neurodiversity inclusion","communication barriers, anxiety, interview challenges"
Consistent Lighting,Maintain consistent lighting in interview settings.,Consistent lighting prevents sensory overload and helps me stay focused during interviews.,Ensuring that interview environments have consistent lighting to avoid sensory issues for candidates sensitive to light changes.,Helps me focus better. Could help your organisation by providing a more comfortable interview setting.,"Feeling: comfortable, focused, supported","Leading to: improved interview experience, better candidate performance, reduced stress","Support, Wellness","environmental modifications, sensory management, inclusive hiring","sensory strain, anxiety, interview challenges"
Constructive Feedback,Offer logically explained constructive feedback.,"Receiving clear, constructive feedback helps me understand how to improve.",Providing candidates with constructive feedback that is logically explained helps them understand areas for improvement.,Helps me improve. Might help your organisation by fostering continuous learning and development.,"Feeling: valued, motivated, engaged","Leading to: improved performance, stronger employee advocacy, better candidate experience","Development, Support","clear communication, professional development, feedback processes","career challenges, learning difficulties, communication clarity"
Continuous Learning,Promote the job application process as continuous learning.,Viewing the job search as a learning journey keeps me motivated and open to growth.,"Encouraging job seekers to see the application process as a continuous learning experience, helping them stay motivated and grow.",Helps me stay positive and keep learning. Could help your organisation attract more resilient and growth-oriented candidates.,"Feeling: motivated, empowered, resilient","Leading to: enhanced growth, stronger culture, better talent development","Development, Wellness","career guidance, emotional support, stress management","career challenges, high stress levels, emotional distress"
Breakout Space,Offer a dedicated space for relaxation and self-regulation,Having a place to unwind between tasks really helps me recharge and stay focused.,"A dedicated breakout space allows individuals to take a break, relax, or engage in self-regulating activities.",Helps me recharge and maintain focus. It could help our organisation improve employee well-being and productivity.,"Feeling: valued, supported, energised","Leading to: better employee health, increased productivity, reduced absenteeism",Wellness,"accessible formats, comfort and ergonomics, wellness programs, mental health support","mental health, high stress levels, fatigue, anxiety"
Contact Person,Provide a designated contact for inquiries or concerns,Knowing there’s someone I can reach out to for questions makes me feel more confident and prepared.,Providing a designated contact person before the interview ensures candidates have someone to address inquiries or concerns.,Helps me feel confident and prepared. It may help your organisation enhance candidate experience and reduce recruitment anxiety.,"Feeling: supported, confident, secure","Leading to: improved recruitment, stronger culture, better candidate experience",Communication,"clear communication, accessible formats, equal opportunity, stress management","communication anxiety, recruitment bias, social anxiety, job rejection"
Digital Accessibility Tools,Use tools like voice recognition and text-to-speech,Having access to tools that accommodate my needs makes tasks much more manageable and less stressful.,"Digital accessibility tools, such as voice recognition software for motor skill challenges and text-to-speech for comprehension, enhance accessibility.",Helps me manage tasks more effectively. It might help our organisation improve inclusivity and productivity.,"Feeling: empowered, included, confident","Leading to: enhanced diversity, improved adaptability, better employee experience","Adaptability, Development","assistive technology, accessible formats, cognitive support, technology adaptation challenges","accessibility, digital barriers, cognitive challenges, disability accommodation"
Neurodiversity Disclosure Info,Provide information on disclosing neurodiversity,Knowing when and how to disclose my needs helps me feel more secure and understood during the hiring process.,Clear information on when and how to disclose neurodiversity or reasonable adjustments during recruitment.,Helps me feel secure and understood. It could help your organisation improve inclusivity and reduce discrimination.,"Feeling: included, respected, secure","Leading to: better knowledge retention, improved recruitment, enhanced diversity","Support, Communication","awareness training, inclusive hiring, clear communication, equal opportunity","neurodiversity inclusion, discrimination, exclusion, recruitment bias"
Dress Code Choice,Allowing candidates to choose interview attire,Choosing my own attire for interviews helps me feel more relaxed and confident.,Offering candidates the option to select their attire during interviews eases their stress and allows them to present themselves authentically.,Helps me feel more at ease during interviews. This could help your organisation attract diverse talent by creating a more inclusive interview environment.,"Feeling: confident, included, respected","Leading to: enhanced reputation, improved recruitment, better candidate experience",Communication,"alternative communication, diverse hiring, equal opportunity, inclusive hiring","access barriers, communication anxiety, job rejection, recruitment bias"
Embracing Neurodiversity,Recognizing neurodiversity and its strengths,Recognizing my neurodiverse strengths makes me feel valued and capable of contributing uniquely.,Embracing neurodiversity involves acknowledging and valuing the unique strengths neurodiverse individuals bring to the workplace.,Helps me feel valued and empowered. This might help our organisation foster a more inclusive and innovative culture by leveraging diverse perspectives.,"Feeling: valued, empowered, included","Leading to: increased innovation, better problem-solving, stronger culture",Support,"awareness training, inclusive hiring, neurodiversity inclusion, support networks","access barriers, discrimination, exclusion, neurodiversity inclusion"
Movement Breaks,Allowing regular movement breaks,Having regular movement breaks keeps me energized and focused throughout the day.,"Encouraging regular breaks for movement helps individuals stay energized, reducing fatigue and enhancing overall productivity.",Helps me maintain focus and energy. This could help our organisation improve overall productivity and employee well-being by promoting healthier work habits.,"Feeling: energized, productive, supported","Leading to: better employee health, increased productivity, reduced absenteeism",Wellness,"physical conditioning, wellness programs, stress management, ergonomic adjustments","fatigue, health and well-being, high stress levels, productivity issues"
Environmental Adjustments,"Adjusting lighting, noise, and temperature",Adjusting the workspace environment helps me stay comfortable and focused.,"Making environmental adjustments, such as reducing fluorescent lighting, minimizing noise, and regulating temperature, enhances comfort and focus.",Helps me feel more comfortable and focused. This may help our organisation improve employee satisfaction and productivity by providing a more conducive work environment.,"Feeling: comfortable, focused, supported","Leading to: better employee health, improved productivity, enhanced employee experience",Adaptability,"environmental modifications, noise management, ergonomic adjustments, safe environment","discomfort at work, environmental and ergonomic issues, sensory challenges"
Explicit Interview Feedback,Providing explicit and constructive interview feedback,Getting clear feedback from interviews helps me understand how to improve and succeed.,"Encouraging interviewers to give explicit, constructive feedback helps candidates understand their strengths and areas for improvement.",Helps me improve and succeed in future interviews. This could help your organisation enhance the candidate experience and attract better-prepared candidates.,"Feeling: confident, informed, motivated","Leading to: better recruitment, improved candidate quality, enhanced engagement",Communication,"clear communication, mentorship programs, professional development, interview preparation","communication barriers, interview anxiety, job rejection, performance anxiety"
Extended Interview Time,Allowing additional interview time,Having extra time during interviews helps me process questions and respond thoughtfully.,"Allowing extended interview time accommodates candidates with processing difficulties, ensuring they can respond effectively and accurately.",Helps me feel less pressured and more confident. This might help your organisation make more informed hiring decisions by giving candidates the time they need to perform their best.,"Feeling: confident, included, respected","Leading to: improved recruitment, better candidate experience, stronger culture",Support,"adaptable strategies, inclusive hiring, diverse hiring, support networks","cognitive challenges, interview anxiety, job rejection, performance anxiety"
Extended Interview Time,Arranging longer interview times,Longer interview times give me the chance to think and answer questions properly.,Arranging for longer interview times helps candidates who need more time to think and respond effectively during interviews.,Helps me answer questions properly and confidently. This could help your organisation evaluate candidates more fairly and accurately.,"Feeling: confident, supported, respected","Leading to: better recruitment, improved candidate experience, enhanced engagement",Communication,"adaptable strategies, inclusive hiring, diverse hiring, support networks","cognitive challenges, interview anxiety, job rejection, performance anxiety"
Flexible Interview Format,Allowing flexible interview formats,Flexible interview formats make me feel more comfortable and able to perform my best.,Offering flexibility in interview formats helps candidates accommodate their specific needs and perform to the best of their abilities.,Helps me feel comfortable and perform well in interviews. This might help your organisation attract a diverse range of candidates by offering a more inclusive interview process.,"Feeling: comfortable, included, confident","Leading to: improved recruitment, enhanced diversity, stronger culture",Adaptability,"adaptable strategies, alternative communication, diverse hiring, flexible schedules","accessibility, cognitive challenges, interview anxiety, performance anxiety"
Flexible Seating,Allowing flexible seating arrangements,Flexible seating options during interviews help me stay relaxed and focused.,"Providing flexible seating arrangements, including standing or fidgeting options, helps candidates stay relaxed and focused during interviews.","Helps me stay relaxed and focused. This could help your organisation create a more accommodating and supportive interview environment, improving candidate experience.","Feeling: relaxed, focused, supported","Leading to: improved recruitment, better candidate experience, enhanced diversity",Adaptability,"adaptable strategies, ergonomic adjustments, support networks, inclusive hiring","accessibility, cognitive challenges, interview anxiety, physical exertion"
Flexible Interview Timing,Offering flexible interview scheduling,Flexible interview times let me choose when I'm at my best to perform well.,Offering flexibility in scheduling interviews ensures candidates can choose times when they are most alert and able to perform well.,Helps me perform at my best during interviews. This might help your organisation attract and evaluate candidates more effectively by accommodating their optimal performance times.,"Feeling: respected, confident, supported","Leading to: improved recruitment, better candidate experience, enhanced engagement",Productivity,"adaptable strategies, flexible schedules, inclusive hiring, support networks","accessibility, cognitive challenges, interview anxiety, scheduling challenges"
Visual Information Highlighting,Highlighting key information visually,Having key information highlighted visually helps me understand and remember important points.,Highlighting important information visually during interviews helps candidates understand and retain key details more effectively.,Helps me understand and remember key information better. This may help your organisation improve candidate comprehension and retention of important information during interviews.,"Feeling: informed, confident, included","Leading to: improved recruitment, better candidate quality, enhanced engagement",Communication,"accessible formats, cognitive support, visual planning, clear communication","cognitive challenges, comprehension difficulties, interview anxiety, memory challenges"
Holistic References,Accepting non-employer references,Being able to provide references from mentors or educators helps me show my full potential.,"Accepting recruitment references from sources other than previous employers, such as educators or mentors, allows candidates to demonstrate their full range of capabilities.",Helps me present a well-rounded profile. This might help your organisation gain a more comprehensive understanding of candidates' skills and potential.,"Feeling: valued, understood, respected","Leading to: improved recruitment, better candidate quality, enhanced diversity",Development,"career guidance, diverse hiring, equal opportunity, mentorship programs","access barriers, biased assessments, job rejection, recruitment bias"
Interview Breaks,Allowing breaks during interviews,Having breaks during interviews helps me stay focused and reduces my anxiety.,"Arranging for breaks during interviews helps candidates maintain focus and reduce anxiety, leading to better performance.",Helps me stay focused and calm during interviews. This could help your organisation improve candidate performance and reduce interview stress.,"Feeling: calm, focused, supported","Leading to: better recruitment, improved candidate experience, reduced stress",Adaptability,"adaptable strategies, stress management, support networks, flexible schedules","anxiety, interview anxiety, performance anxiety, high stress levels"
Custom Interview Environment,Allow customization of virtual background or physical space.,"I feel more at ease when I can control my interview environment, making the process less stressful.",Allowing candidates to adjust their interview environment for comfort can reduce stress and enhance performance.,Helps me feel more comfortable and focused during interviews. This might help your organization present a more inclusive and supportive image.,"Feeling: supported, confident, secure.","Leading to: enhanced reputation, improved recruitment, better work quality.","Support, Adaptability","adaptable strategies, comfort and ergonomics, environmental modifications","anxiety, sensory challenges, communication barriers, stress management"
Format Choice,"Offer interview format choices: live video, phone call, or text-based.",Having options for how I interview makes me feel respected and in control of the process.,Providing choices in interview format can accommodate various comfort levels and communication preferences.,Helps me choose the best way to present myself. This could help your organization attract diverse talent.,"Feeling: valued, empowered, respected.","Leading to: enhanced diversity, improved recruitment, stronger employee advocacy.","Support, Communication","alternative communication, accessible formats, diverse hiring","communication anxiety, anxiety, recruitment bias, accessibility"
Question Preview,Provide a preview of interview questions.,Knowing the questions ahead of time helps me prepare and reduces my anxiety.,Giving candidates a preview of interview questions can help them prepare and reduce interview stress.,Helps me organize my thoughts and feel more confident. This may help our organization improve interview outcomes.,"Feeling: confident, prepared, relaxed.","Leading to: better performance, improved recruitment, enhanced decision-making.","Support, Adaptability","cognitive support, mental health support, interview preparation","anxiety, cognitive challenges, performance anxiety, preparation difficulties"
Questions in Advance,Provide interview questions in advance.,"Receiving questions beforehand allows me to give thoughtful, well-organized responses during the interview.",Offering interview questions in advance supports thorough preparation and reduces stress for candidates.,Helps me feel prepared and less anxious. This might help our organization get better insights into candidate capabilities.,"Feeling: prepared, confident, secure.","Leading to: improved recruitment, better decision-making, stronger candidate experience.","Support, Communication","clear communication, cognitive support, mental health support","anxiety, preparation difficulties, communication barriers, stress management"
Interviewer Training,Provide training on autism and dyspraxia.,"When interviewers understand my condition, I feel more understood and less stressed during the interview.",Training interviewers on autism and dyspraxia can improve communication and create a more inclusive interview process.,Helps me feel understood and respected. This could help our organization build a more inclusive culture.,"Feeling: respected, included, confident.","Leading to: enhanced diversity, improved recruitment, better conflict resolution.","Development, Support","awareness training, inclusive hiring, communication tools","autism, dyspraxia, communication barriers, recruitment bias"
Large Print Materials,Offer materials in large print.,Having large print materials makes it easier for me to read and understand information.,Providing large print materials ensures accessibility for individuals with visual impairments.,Helps me access information easily. This might help our organization improve accessibility and inclusivity.,"Feeling: supported, included, valued.","Leading to: improved compliance, enhanced reputation, better employee experience.","Support, Adaptability","accessible formats, assistive technology, clear communication","visual impairments, accessibility, reading difficulties, information management"
Headphone Usage,Allow use of headphones to block out noise.,Using headphones helps me concentrate and work more efficiently in a noisy environment.,Allowing headphones can help individuals block out distracting noise and improve focus.,Helps me concentrate better in noisy settings. This could help our organization increase productivity and employee satisfaction.,"Feeling: focused, empowered, productive.","Leading to: increased productivity, better work quality, improved mental health.","Support, Wellness","noise management, comfort and ergonomics, cognitive support","sensory overload, noise distraction, productivity challenges, stress management"
Movement Breaks,Incorporate breaks for movement and stretching.,Having movement breaks during interviews helps me stay comfortable and focused.,"Incorporating movement breaks can accommodate sensory or motor challenges, improving comfort during interviews.",Helps me stay focused and comfortable. This might help our organization create a more supportive interview environment.,"Feeling: comfortable, supported, energised.","Leading to: better performance, improved recruitment, enhanced employee experience.","Support, Wellness","sensory support, physical conditioning, stress management","sensory challenges, motor issues, interview stress, physical discomfort"
Network and Collaborate,Build a network and collaborate for opportunities and growth.,Networking and collaborating with others opens new doors for me and helps me grow professionally.,Encouraging networking and collaboration can provide new opportunities and support professional growth.,Helps me find new opportunities and develop my skills. This could help our organization by fostering innovation and collaboration.,"Feeling: connected, inspired, motivated.","Leading to: increased innovation, improved collaboration, better talent development.","Development, Communication","mentorship programs, career guidance, networking events","career challenges, isolation, professional growth, development opportunities"
